content_id,name,address,image,category,lcls1_name,lcls2_name,lcls3_name,area_code,sigungu_name,lat,lng,tel,region
803430,담양 도래수마을,전남광주통합특별시 담양군 용면 분통길 41-1,http://tong.visitkorea.or.kr/cms/resource/32/3378132_image2_1.JPG,관광지,체험관광,농.산.어촌 체험,체험마을,38,담양군,35.4226594756,127.0292907785,,전남
250094,담양 메타세쿼이아길,전남광주통합특별시 담양군 담양읍 메타세쿼이아로 12,http://tong.visitkorea.or.kr/cms/resource/81/3340881_image2_1.jpg,관광지,자연관광,기타자연관광,기타자연관광,38,담양군,35.3238535634,127.0041510748,,전남
2716704,담양 메타세쿼이아길,,http://tong.visitkorea.or.kr/cms/resource/46/2716346_image2_1.jpg,여행코스,추천코스,힐링코스,힐링코스,38,담양군,0,0,,전남
228892,담양 명옥헌 원림,전남광주통합특별시 담양군 고서면 후산길 103,http://tong.visitkorea.or.kr/cms/resource/13/3533213_image2_1.jpg,관광지,역사관광,역사유적지,고택,38,담양군,35.2193707987,126.9963905156,,전남
126374,담양 소쇄원,전남광주통합특별시 담양군 가사문학면 소쇄원길 17,http://tong.visitkorea.or.kr/cms/resource/74/3532174_image2_1.jpg,관광지,역사관광,역사유적지,기타역사유적지,38,담양군,35.1843777980,127.0121927787,,전남
1623806,담양 송강정,전남광주통합특별시 담양군 고서면 송강정로 232,http://tong.visitkorea.or.kr/cms/resource/58/3568258_image2_1.jpg,관광지,역사관광,역사유적지,기타역사유적지,38,담양군,35.2524302279,126.9538017822,,전남
129363,담양 시목마을,전남광주통합특별시 담양군 대덕면 시목길 29,http://tong.visitkorea.or.kr/cms/resource/34/3562534_image2_1.jpg,관광지,체험관광,농.산.어촌 체험,체험마을,38,담양군,35.2677354409,127.0353497364,,전남
128978,담양 식영정,전남광주통합특별시 담양군 가사문학면 가사문학로 859,http://tong.visitkorea.or.kr/cms/resource/49/3568249_image2_1.jpg,관광지,역사관광,역사유적지,기타역사유적지,38,담양군,35.1886299284,127.0023740950,,전남
2013935,담양 용마루길,전남광주통합특별시 담양군 용면 추월산로 735,http://tong.visitkorea.or.kr/cms/resource/28/3582028_image2_1.jpg,레포츠,레저스포츠,육상레저스포츠,기타육상레저스포츠,38,담양군,35.3875211686,126.9930309983,,전남
128953,담양 창평 삼지내마을,전남광주통합특별시 담양군 창평면 돌담길 9-22,http://tong.visitkorea.or.kr/cms/resource/81/3370481_image2_1.jpg,관광지,역사관광,역사유적지,민속마을,38,담양군,35.2380579619,127.0190630391,,전남
2784213,담양곤충박물관,전남광주통합특별시 담양군 담양읍 담양88로 428,,문화시설,문화관광,전시시설,박물관,38,담양군,35.3224481934,127.0057009732,,전남
2524201,담양국수거리,전남광주통합특별시 담양군 담양읍,http://tong.visitkorea.or.kr/cms/resource/40/3534240_image2_1.jpg,관광지,문화관광,도시.지역문화관광,"골목길, 문화거리",38,담양군,35.3239310459,126.9873303395,,전남
2729195,담양금성오토캠핑장,전남광주통합특별시 담양군 금성면 불로리길 135-88,http://tong.visitkorea.or.kr/cms/resource/90/2729490_image2_1.jpg,레포츠,숙박,캠핑,오토캠핑장,38,담양군,35.3658521341,127.0361027336,,전남
715953,담양레이나 CC,전남광주통합특별시 담양군 담양읍 깊은실길 169,,레포츠,레저스포츠,육상레저스포츠,골프,38,담양군,35.3100775539,127.0164836657,,전남
127847,담양리조트 온천,전남광주통합특별시 담양군 금성면 금성산성길 202,http://tong.visitkorea.or.kr/cms/resource/37/3077537_image2_1.jpg,관광지,체험관광,웰니스관광,온천 / 사우나 / 스파,38,담양군,35.3651770098,127.0243537910,,전남
129988,담양문화원,전남광주통합특별시 담양군 담양읍 죽향문화로 35,http://tong.visitkorea.or.kr/cms/resource/39/3378139_image2_1.JPG,문화시설,문화관광,교육시설,한국문화원,38,담양군,35.3095130610,126.9772427091,,전남
2833131,담양밤부리,전남광주통합특별시 담양군 죽향문화로 403  ,http://tong.visitkorea.or.kr/cms/resource/10/2833110_image2_1.png,음식점,음식,카페/ 찻집,카페,38,담양군,35.3331800296,126.9890632853,,전남
729774,담양숯불갈비,전남광주통합특별시 목포시 옥암로 65,,음식점,음식,한식,관광식당,38,목포시,34.8051413649,126.4278370925,,전남
1646593,담양습지,전남광주통합특별시 담양군 대전면 응용리 104-2,http://tong.visitkorea.or.kr/cms/resource/57/3027157_image2_1.jpg,관광지,자연관광,자연생태,생태습지,38,담양군,35.2502099612,126.8904463342,,전남
2841784,담양앞집,전남광주통합특별시 담양군 담양읍 죽향문화로 22,http://tong.visitkorea.or.kr/cms/resource/77/2841777_image2_1.JPG,음식점,음식,한식,관광식당,38,담양군,35.3100713593,126.9788897714,,전남
2847519,담양애꽃,전남광주통합특별시 담양군 죽향대로 723 담양애꽃 ,http://tong.visitkorea.or.kr/cms/resource/14/2847514_image2_1.JPG,음식점,음식,한식,관광식당,38,담양군,35.2730587717,126.9726384833,,전남
2553930,담양우표박물관,전남광주통합특별시 담양군 대전면 대치9길 16,http://tong.visitkorea.or.kr/cms/resource/46/3378146_image2_1.JPG,문화시설,문화관광,전시시설,박물관,38,담양군,35.2766069614,126.8895957452,,전남
2843316,담양제과,전남광주통합특별시 담양군 추성로 1318  ,http://tong.visitkorea.or.kr/cms/resource/83/2843283_image2_1.JPG,음식점,음식,카페/ 찻집,카페,38,담양군,35.3197369897,126.9822614503,,전남
2760951,담양추억의골목,전남광주통합특별시 담양군 금성면 금성산성길 282-6,http://tong.visitkorea.or.kr/cms/resource/22/3564222_image2_1.jpg,관광지,문화관광,도시.지역문화관광,"골목길, 문화거리",38,담양군,35.3723344523,127.0196012524,,전남
1954936,담양향교,전남광주통합특별시 담양군 담양읍 향교길 19,http://tong.visitkorea.or.kr/cms/resource/53/3378153_image2_1.JPG,관광지,역사관광,역사유적지,사당,38,담양군,35.3258419110,126.9855804462,,전남
126323,담양호,전남광주통합특별시 담양군 금성면 금성산성길 366,http://tong.visitkorea.or.kr/cms/resource/39/3562539_image2_1.jpg,관광지,자연관광,자연경관(하천‧해양),호수,38,담양군,19.6944274800,117.9925662504,,전남
