name,market_type,address,open_cycle,lat,lng,items,has_restroom,has_parking
곡성기차마을전통시장,3일장,전라남도 곡성군 곡성읍 곡성로 856,3일+8일,35.27976851,127.2984376,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
석곡전통시장,5일장,전라남도 곡성군 석곡면 석곡로 70,5일+10일,35.1329487,127.2540916,['농산물+축산물+수산물+가정용품'],True,True
옥과5일시장,4일장,전라남도 곡성군 옥과면 리문8길 14,4일+9일,35.2759017,127.1379523,['농산물+축산물+수산물+의류+신발+가정용품+음식점'],True,True
광영상설시장,상설장,전라남도 광양시 광영시장길 19,매일,34.96144871,127.7203625,['농산물+축산물+수산물+가공식품+음식점'],True,True
옥곡5일시장,4일장,전라남도 광양시 옥곡면 큰골1길 2-26,4일+9일,34.98850818,127.7002388,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
중마시장,상설장,전라남도 광양시 중마중앙로 88,매일,34.93820196,127.6988477,['농산물+축산물+수산물+가공식품+음식점'],True,True
구례5일시장,3일장,전라남도 구례군 구례읍 5일시장작은길 20,3일+8일,35.21015279,127.4700811,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
구례상설시장,상설장,전라남도 구례군 구례읍 구례1길 45-6,매일,35.20961971,127.465751,['농산물+축산물+수산물+가공식품'],True,True
지리산나들이장터,상설장,전라남도 구례군 산동면 지리산온천로 126,매일,35.31147841,127.444496,['농산물+가공식품+음식점+근린생활서비스'],True,True
공산5일시장,상설장,전라남도 나주시 공산면 덕음로 3-1,1일+6일,34.94263855,126.6091667,['농산물+수산물+가정용품'],True,False
다시5일시장,3일장,전라남도 나주시 다시면 다시로 168-72,3일+8일,35.01574218,126.635656,['농산물+수산물+가공식품'],True,True
나주목사고을시장,상설장+4일장,전라남도 나주시 청동길 14,4일+9일,35.03624663,126.7237639,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
영산포풍물시장,5일장,전라남도 나주시 풍물시장2길 12-14,5일+10일,34.99199963,126.7072636,['농산물+축산물+수산물+가공식품+신발+음식점'],True,True
창평전통시장,상설장+5일장,전라남도 담양군 창평면 사동길 14-25,5일+10일,35.23810491,127.0149083,['농산물+축산물+수산물+가공식품+가정용품+음식점'],True,True
목포종합수산시장,상설장,전라남도 목포시 해안로 265-4,매일,34.7877699,126.3898749,['수산물+가공식품+음식점'],True,True
중앙식료시장,상설장,전라남도 목포시 삼일로13번길 18-2,매일,34.79403892,126.3817975,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
자유시장,상설장,전라남도 목포시 자유로 122,매일,34.79292001,126.4030678,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
신중앙시장,상설장,전라남도 목포시 원산중앙로 51,매일,34.81025124,126.3775235,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
청호시장,상설장,전라남도 목포시 석현로 28,매일,34.81537749,126.4245916,['농산물+축산물+수산물+가공식품+음식점'],True,True
항동시장,상설장,전라남도 목포시 수강로12번길 2,매일,34.78600878,126.3856159,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
동부시장,상설장,전라남도 목포시 영산로257번길 14,매일,34.80467356,126.3936914,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
일로전통시장,상설장,전라남도 무안군 일로읍 시장길 11-22,1일+6일,34.84753364,126.4943339,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
벌교전통시장,4일장,전라남도 보성군 벌교읍 시장1길 10,4일+9일,34.84493134,127.3450789,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
벌교매일시장,상설장,전라남도 보성군 벌교읍 시장2길 10-41,매일,34.84300877,127.3459893,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
녹차골보성향토시장(보성읍5일시장),상설장,전라남도 보성군 보성읍 현충로 42-1,2일+7일,34.76564839,127.0772384,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
보성매일시장,상설장,전라남도 보성군 보성읍 신흥길 9,매일,34.76817918,127.0806162,['농산물+축산물+수산물+가공식품+가정용품+음식점'],True,True
복내5일시장,4일장,전라남도 보성군 복내면 송재로 1838-12,4일+9일,34.89370035,127.1331421,['농산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
조성5일시장,5일장,전라남도 보성군 조성면 조성로 90-6,5일+10일,34.80647615,127.2452824,['농산물'],True,True
중앙시장,상설장,전라남도 순천시 중앙시장길 18,매일,34.95326194,127.4846047,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
역전시장,상설장,전라남도 순천시 역전장길 9,매일,34.94374833,127.5033333,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
웃장,상설장+5일장,전라남도 순천시 북문길 40,5일+10일,34.95864147,127.4850305,['농산물+축산물+수산물+가공식품+의류+가정용품+음식점'],True,True
승주시장,상설장,전라남도 순천시 승주읍 승주장길 14,1일+6일,35.01315903,127.387664,['농산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
주암시장,상설장+3일장,전라남도 순천시 주암면 주암호길 5-1,3일+8일,35.07598752,127.2352637,['농산물+축산물+수산물+가공식품+의류+신발+가정용품'],True,True
순천시아랫장(순천아랫장),상설장,전라남도 순천시 장평로 60,2일+7일,34.94514825,127.496084,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
괴목시장,4일장,전라남도 순천시 황전면 괴목길 17,4일+9일,35.10243423,127.4282445,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
지도 전통시장,상설장+3일장,전라남도 신안군 지도읍 읍내길 16-20,3일+8일,35.0588198,126.2069832,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점'],True,True
